jobname,execution,timestamp,cpu,os,method,size,mean,error,stddev,median,unit
orleans-messaging,orleans-messaging-468jg,2024-04-15T15:05:21.435590Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,500,2999.8,291.8,803.7,2654.0
orleans-messaging,orleans-messaging-468jg,2024-04-15T15:05:21.435612Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,1000,6380.3,849.3,2324.8,5319.0
orleans-messaging,orleans-messaging-468jg,2024-04-15T15:05:21.435618Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,2000,8721.9,241.7,641.0,8518.3
orleans-messaging,orleans-messaging-468jg,2024-04-15T15:05:21.435672Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,5000,26725.4,3342.3,9481.7,21529.7
orleans-messaging,orleans-messaging-468jg,2024-04-15T15:05:21.435681Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendMessages,10000,44664.4,2828.1,7930.4,40784.2
orleans-contract-net-protocol,orleans-contract-net-protocol-45frr,2024-04-15T15:06:29.011374Z,"Intel Xeon CPU 2.80GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,100,963.0,81.45,225.7,877.0
orleans-contract-net-protocol,orleans-contract-net-protocol-45frr,2024-04-15T15:06:29.011380Z,"Intel Xeon CPU 2.80GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,200,1372.4,84.75,221.8,1349.8
orleans-contract-net-protocol,orleans-contract-net-protocol-45frr,2024-04-15T15:06:29.011384Z,"Intel Xeon CPU 2.80GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,500,4550.9,415.24,1150.6,4072.5
orleans-contract-net-protocol,orleans-contract-net-protocol-45frr,2024-04-15T15:06:29.011408Z,"Intel Xeon CPU 2.80GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,1000,14931.4,3159.97,9167.6,11816.4
orleans-contract-net-protocol,orleans-contract-net-protocol-45frr,2024-04-15T15:06:29.011415Z,"Intel Xeon CPU 2.80GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,2000,23535.9,3301.16,9092.4,20123.8
orleans-contract-net-protocol,orleans-contract-net-protocol-45frr,2024-04-15T15:06:29.011640Z,"Intel Xeon CPU 2.80GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,5000,58000.6,6203.87,17190.9,49450.2
orleans-contract-net-protocol,orleans-contract-net-protocol-45frr,2024-04-15T15:06:29.011644Z,"Intel Xeon CPU 2.80GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,10000,118315.7,13428.68,36760.8,102119.8
orleans-contract-net-protocol,orleans-contract-net-protocol-q2x2k,2024-04-15T16:05:41.022346Z,"Intel Xeon CPU 2.00GHz, 1 CPU, 4 logical and 2 physical cores",Debian GNU/Linux 12 (bookworm) (container),SendCallForProposals,100,1153.0,101.3,289.0,1255.0
